Sample Code,Seq,Drain,Site,Rep,Size,Vol L,Total Fragment Count,Fragment L,Total Film Count,Film L,Total Bead Count,Bead L,Total Fibre Count,Blank deduction,Total Fibre Blank Correction,Fibre L,Total MP Blank Correct,corrected counts,corrected counts perL,FP rate,corrected count across sizes,corrected count across sizes/L,catchment area ha,catchment population,residential proportion,industrial proportion,services proportion,agricultural proportion,natural proportion,public open,rainfall week prior mm
O2.2.4,68,O,O2,2,4,5,1,0.2,0,0,0,0,2,2,0,0,1,1,0.2,0,90,18,2324.4,49291,65.8881,16.0097,15.4745,0,2.4331,0.1946,6.8
O2.3.1,69,O,O2,3,1,5,6,1.2,0,0,0,0,34,1,33,6.6,39,19,3.8,0.513,64,12.8,2324.4,49291,65.8881,16.0097,15.4745,0,2.4331,0.1946,6.8
O2.3.2,70,O,O2,3,2,5,8,1.6,0,0,0,0,39,2,37,7.4,45,23,4.6,0.489,64,12.8,2324.4,49291,65.8881,16.0097,15.4745,0,2.4331,0.1946,6.8
O2.3.3,71,O,O2,3,3,5,3,0.6,0,0,0,0,31,1,30,6,33,17,3.4,0.485,64,12.8,2324.4,49291,65.8881,16.0097,15.4745,0,2.4331,0.1946,6.8
O2.3.4,72,O,O2,3,4,5,0,0,0,0,0,0,22,1,21,4.2,21,5,1,0.762,64,12.8,2324.4,49291,65.8881,16.0097,15.4745,0,2.4331,0.1946,6.8
K1.1.1,73,K,K1,1,1,10,1,0.1,0,0,0,0,53,1,52,5.2,53,28,2.8,0.472,105,10.5,19.62,298,84.2105,0,15.7895,0,0,0,31.8
K1.1.2,74,K,K1,1,2,10,0,0,0,0,0,0,81,0,81,8.1,81,37,3.7,0.543,105,10.5,19.62,298,84.2105,0,15.7895,0,0,0,31.8
K1.1.3,75,K,K1,1,3,10,2,0.2,0,0,0,0,44,1,43,4.3,45,14,1.4,0.689,105,10.5,19.62,298,84.2105,0,15.7895,0,0,0,31.8
K1.1.4,76,K,K1,1,4,10,0,0,0,0,0,0,51,2,49,4.9,49,26,2.6,0.469,105,10.5,19.62,298,84.2105,0,15.7895,0,0,0,31.8
K1.2.1,77,K,K1,2,1,10,1,0.1,0,0,0,0,54,2,52,5.2,53,30,3,0.434,113,11.3,19.62,298,84.2105,0,15.7895,0,0,0,31.8
