"V1","V2"
1870,4.78
1870,3.91
1870,3.39
1870,6.12
1870,7.01
1870,0.806
1880,-3.55
1880,-0.0446
1880,1.06
1880,-2.13
1880,-2.71
1880,-1.53
1890,-1.52
1890,-2.1
1890,2.12
1890,2.04
1890,1.46
1890,5.09
1890,2.01
1900,2.75
1900,6.28
1900,3.67
1900,2.46
1900,-1.04
1900,0.813
1910,0.82
1910,2.13
1910,3.15
1910,-0.223
1910,2.11
1910,6.4
1920,4.56
1920,-0.0748
1920,-0.591
1920,0.565
1920,3.8
1920,4.78
1920,0.355
1930,-0.311
1930,-2.46
1930,-4.7
1930,-3.64
1930,-2.49
1930,-1.28
1940,1.45
1940,2.67
1940,3.75
1940,1.42
1940,2.55
1940,1.83
1950,2.41
1950,0.688
1950,2.77
1950,0.504
1950,1.79
1950,3.07
1950,-2.14
1960,1.55
1960,0.29
1960,2.48
1960,3.47
1960,2.52
1960,3.42
1970,0.0486
1970,-3.82
1970,-4.48
1970,-1
1970,-2.32
1970,-0.23
1980,3.11
1980,1.79
1980,1.09
1980,2.28
1980,2.18
1980,1.05
1980,-0.371
1990,-0.243
1990,-2.36
1990,-4.43
1990,-2.15
1990,-1.17
1990,1.01
2000,4.65
2000,2.83
2000,3.17
2000,-0.345
2000,3.89
2000,3.03
2000,2.02
2010,0.215
2010,2.61
2010,1.5
2010,-0.805
2010,3.09
2010,-2.66
2020,0.585
2020,3.83
2020,4.68
2020,1.63
2020,-0.815
2020,0.387
2020,2.54
2030,3.3
2030,5.9
2030,1.81
2030,1.71
2030,4.22
2030,3.28
2040,6.74
2040,5.1
2040,1.57
2040,3.58
2040,7.35
2040,11.2
2050,4.18
2050,2.4
2050,4.17
2050,9.44
2050,8.76
2050,8.03
2050,6.8
2060,5.68
2060,7
2060,7.43
2060,10.7
2060,10.8
2060,11.7
2070,12.5
2070,10.7
2070,8.67
2070,8.8
2070,12
2070,6.43
2070,4.77
2080,5.11
2080,3.2
2080,6.2
2080,2.49
2080,3.19
2080,4.79
2090,2.09
2090,1.79
2090,-0.514
2090,-0.0626
2090,3.19
2090,3.85
2090,1.5
2100,-0.939
2100,3.37
2100,0.0357
2100,-2.55
2100,-0.631
2100,-1.38
2110,-2.48
2110,-2.53
2110,-1.07
2110,-0.918
2110,2.44
2110,6.24
2110,7.2
2120,6.06
2120,5.22
2120,3.93
2120,7.09
2120,11
2120,8.52
2120,5.58
2130,3.45
2130,8.01
2130,12.6
2130,9.55
2130,9.47
2130,6.79
2140,8.82
2140,10.4
2140,11.5
2140,9.79
2140,11.7
2140,9.14
2140,10.8
2150,6.05
2150,10.2
2150,10.6
2150,6.95
2150,6.94
2150,9.58
2160,7.27
2160,7.96
2160,8.25
2160,9.09
2160,6.34
2160,5.08
2160,5.18
2170,4.03
2170,1.18
2170,2.73
2170,0.138
2170,4.09
2170,-4.8
2180,-3.84
2180,-3.92
2180,0.685
2180,1.7
2180,0.935
2180,-0.326
2180,1.61
2190,-0.294
2190,1.35
2190,1.19
2190,5.59
2190,4.38
2190,6.13
2190,6.38
2200,3.47
2200,7.37
2200,12.3
2200,15.6
2200,15.5
2200,13.3
2210,12.7
2210,12.8
2210,11.1
2210,11.1
2210,6.66
2210,6.52
2210,6.63
2220,11.5
2220,14.3
2220,10.2
2220,1.89
2220,1.65
2220,-0.0303
2220,0.438
2230,3.11
2230,3.93
2230,3.65
2230,3.57
2230,0.144
2230,-1.38
2240,-4.51
2240,-3.48
2240,-0.907
2240,6.92
2240,10.6
2240,3.33
2240,1.26
2250,0.0905
2250,3.97
2250,4.36
2250,3.94
2250,3.13
2250,9.17
2250,7.76
2260,12.5
2260,8.64
2260,8.14
2260,11.7
2260,14.6
2260,12.5
2270,11.7
2270,12.5
2270,11.7
2270,11.2
2270,13
2270,9.72
2270,6.58
2280,10.3
2280,8.22
2280,4.49
2280,4.46
2280,1.29
2280,4.06
2280,2.45
2290,2.13
2290,3.92
2290,2.11
2290,-0.0888
2290,-3.04
2290,-2.78
2290,-3.47
2300,-1.35
2300,1.53
2300,1.47
2300,1.73
2300,-0.409
2300,-0.198
2310,3.96
2310,-1.17
2310,1.69
2310,9.65
2310,4.97
2310,8.39
2310,7.95
2320,9.27
2320,9.19
2320,8.61
2320,9.24
2320,10.5
2320,8.89
2320,11.2
2330,10.6
2330,8.52
2330,13.4
2330,12.6
2330,9.56
2330,11.5
2330,11.1
2340,12.8
2340,12.1
2340,13.1
2340,12.2
2340,10.6
2340,10.6
2350,11
2350,11.3
2350,12.7
2350,8.95
2350,10.8
2350,9.11
2350,8.86
2360,9.77
2360,5.63
2360,6.79
2360,3.2
2360,4.92
2360,7.48
2360,11.8
2370,11.6
2370,6.19
2370,3.61
2370,1.28
2370,1.41
2370,-2.51
2370,-1.98
2380,-1.54
2380,1.34
