"V1","V2"
2480,-0.392
2480,-0.0743
2480,0.568
2480,0.596
2480,0.423
2490,1.09
2490,2.04
2490,1.95
2490,1.19
2490,0.99
2490,1.34
2490,1.42
2500,0.763
2500,-0.264
2500,-0.509
2500,0.00317
2500,0.151
2500,-0.263
2500,-0.799
2510,-0.977
2510,-0.574
2510,-0.0582
2510,0.206
2510,0.326
2510,0.557
2520,0.808
2520,0.551
2520,-0.0292
2520,-0.252
2520,-0.011
2520,0.628
2520,1.72
2530,2.88
2530,3.65
2530,4.21
2530,4.95
2530,5.83
2530,6.44
2530,6.19
2530,4.94
2540,3.33
2540,2.14
2540,1.68
2540,1.84
2540,2.07
2540,1.88
2540,1.23
2550,0.442
2550,-0.134
2550,-0.312
2550,-0.239
2550,-0.17
2550,0.0257
2550,0.273
2560,-0.148
2560,-1.06
2560,-1.19
2560,-0.221
2560,0.801
2560,1.07
2560,0.806
2570,0.654
2570,0.916
2570,1.22
2570,1.21
2570,1.08
2570,1.09
2570,1.64
2580,2.77
2580,3.65
2580,3.67
2580,3.15
2580,2.65
2580,2.48
2580,2.66
2590,3.51
2590,4.63
2590,4.98
2590,4.84
2590,4.94
2590,4.98
2590,4.76
2600,4.72
2600,5.01
2600,5.25
2600,5.3
2600,5.2
2600,5.12
2600,5.42
2610,5.7
2610,5.27
2610,4.7
2610,4.5
2610,3.94
2610,2.94
2610,2.47
2620,2.7
2620,2.94
2620,2.76
2620,2.36
2620,1.95
2620,1.43
2620,0.92
2630,0.606
2630,0.393
2630,0.355
2630,0.363
2630,-0.139
2630,-0.886
2630,-1.04
2640,-0.69
2640,-0.317
2640,0.069
2640,0.485
2640,0.705
2640,0.59
2640,0.26
2650,0.0168
2650,-0.0593
2650,0.104
2650,0.328
2650,0.195
2650,-0.0836
2650,0.152
2650,0.881
2660,1.07
2660,0.372
2660,0.0124
2660,0.468
2660,0.65
2660,0.191
2660,0.138
2670,0.718
2670,0.872
2670,0.416
2670,0.0622
2670,-0.142
2670,-0.264
2670,0.149
2680,0.739
2680,0.648
2680,0.178
2680,-0.0928
2680,-0.274
2680,-0.341
2680,-0.316
2690,-0.355
2690,-0.363
2690,-0.144
2690,0.436
2690,1.13
2690,1.33
2690,0.963
2700,0.428
2700,-0.152
2700,-0.915
2700,-1.63
2700,-1.58
2700,-0.512
2700,0.452
2700,0.506
2710,0.326
2710,0.648
2710,1.28
2710,1.83
2710,2.17
2710,2.42
2710,2.67
2720,2.98
2720,3.59
2720,4.74
2720,6.13
2720,7.24
2720,7.96
2720,8.28
2730,8.2
2730,7.95
2730,8.05
2730,8.46
2730,8.33
2730,7.35
2730,6.16
2740,5.12
2740,4.1
2740,3.51
2740,3.63
2740,3.75
2740,3.32
2740,2.64
2740,1.94
2750,1.33
2750,0.905
2750,0.467
2750,-0.187
2750,-0.908
2750,-1.4
2750,-1.31
2760,-0.498
2760,0.428
2760,0.487
2760,0.0468
2760,0.177
2760,0.62
2760,0.706
2770,0.603
2770,0.554
2770,0.735
2770,1.54
2770,2.82
2770,3.82
2770,4.18
2780,4.2
2780,4.1
2780,3.57
2780,2.31
2780,0.921
2780,0.546
2780,1.11
2780,1.54
2790,1.7
2790,2.05
2790,2.42
2790,2.5
2790,2.25
2790,1.7
2790,1.02
2800,0.249
2800,-0.508
2800,-0.88
2800,-0.755
2800,-0.361
2800,0.0735
2800,0.23
2810,-0.125
2810,-0.62
2810,-0.674
2810,-0.332
2810,-0.0499
2810,0.198
2810,0.716
2810,1.37
2820,1.97
2820,2.69
2820,3.34
2820,3.43
2820,3.31
2820,3.39
2820,3.42
2830,3.52
2830,4.2
2830,5.12
2830,5.7
2830,6.19
2830,7.2
2830,9
2830,11.7
2840,14.4
2840,15.9
2840,15.7
2840,14.7
2840,13.7
2840,12.4
2840,10.5
2850,8.64
2850,6.83
2850,5.19
2850,4.17
2850,3.93
2850,4.19
2850,4.48
2860,4.4
2860,4.36
2860,5.13
2860,7.01
2860,9.94
2860,13.4
2860,17.1
2860,21.3
2870,25.5
2870,28.8
2870,31.3
2870,33.6
2870,35.6
2870,36.8
2870,37.3
2880,37.9
2880,39.1
2880,40.6
2880,41.3
2880,41.2
2880,40.7
2880,39.8
2880,39
2890,37.9
2890,35.6
2890,32.3
2890,29.3
2890,27
2890,25.3
2890,23.9
2900,22.7
2900,22.2
2900,22.4
2900,22.7
2900,22.5
2900,21.7
2900,20.8
2900,20.4
2910,21.2
2910,22.6
2910,23.6
2910,23.7
2910,22.8
2910,21.5
2910,20.6
2920,19.9
2920,19.2
2920,18.5
2920,18.5
2920,18.8
2920,19
2920,18.6
2920,17.8
2930,17
2930,16.8
2930,16.9
2930,16.8
2930,16.4
2930,15.4
2930,14
2940,12.3
2940,10.4
2940,8.43
2940,7.32
2940,7.41
2940,8.31
2940,9.8
2940,11.9
2950,14.3
2950,15.9
2950,16.2
2950,15.9
2950,16.3
2950,17.9
2950,20
2960,22.2
2960,25
2960,28.6
2960,32.4
2960,35.8
2960,38.4
2960,39.5
2960,38.6
2970,36.1
2970,33.9
2970,32.5
2970,30.9
2970,28
2970,24
2970,19.3
2980,14.8
2980,11
2980,8.02
2980,5.75
2980,4.17
2980,3.05
2980,2.38
2980,2.3
2990,2.32
2990,2.07
2990,1.62
2990,1.01
2990,0.246
2990,-0.462
2990,-1.03
3000,-1.42
3000,-1.08
3000,-0.14
3000,0.648
3000,0.774
3000,0.383
3000,-0.0458
3000,-0.061
3010,0.453
3010,1.06
3010,1.22
3010,0.851
3010,0.347
3010,0.261
3010,0.601
3010,0.726
3020,0.518
3020,0.526
3020,0.718
3020,0.568
3020,0.0591
3020,-0.374
3020,-0.626
3030,-0.816
3030,-0.824
3030,-0.657
3030,-0.338
3030,0.069
3030,0.178
3030,0.325
3030,0.902
3040,1.21
3040,0.904
3040,0.5
3040,0.344
3040,0.283
3040,0.125
3040,-0.0648
3040,-0.13
3050,-0.00702
3050,0.256
3050,0.527
3050,0.669
3050,0.559
3050,0.157
3050,-0.548
3060,-1.23
3060,-1.52
3060,-1.37
3060,-0.821
3060,-0.0336
3060,0.652
3060,1.07
3060,1.21
3070,1.19
3070,1.35
3070,1.85
3070,2.34
3070,2.56
3070,2.72
3070,2.84
3070,2.54
3080,1.91
3080,1.44
3080,1.34
3080,1.32
3080,1.08
3080,0.643
3080,0.26
3090,-0.12
3090,-0.64
3090,-1
3090,-1.07
3090,-0.907
3090,-0.411
3090,0.397
3090,1.36
3100,1.81
3100,1.16
3100,-0.0857
3100,-0.955
3100,-1.05
3100,-0.574
3100,-0.165
3100,0.0122
3110,0.275
3110,0.558
3110,0.705
3110,0.897
3110,1.03
3110,0.68
3110,0.0083
3110,-0.371
3120,-0.366
3120,-0.222
3120,-0.0456
3120,-0.0173
3120,-0.322
3120,-0.63
3120,-0.372
3120,0.328
3130,0.693
3130,0.51
3130,0.134
3130,-0.237
