Sample.Code,ï..sample,Drain,Site.Code,Repeat.Number,Filter.Size,Sample.Code,Total.Fragment.Count,Fragment.L,Total.Film.Count,Film.L,Total.Bead.Count,Bead.L,Total.Fibre.Count,Blank.deduction,Total.Fibre.Blank.Correction,Fibre.L,Total.MP.Blank.Correct,corrected_counts,corrected_counts_perL,corrected_count_across_sizes,corrected_count_across_sizes/L,catchment_area_ha,catchment_population,residential_proportion,industrial_proportion,services_proportion,agricultural_proportion,naturalenvironments_proportion,waterenvironment_proportion,production_proportion,transportation_proportion,waste_proportion,rainfall_week_prior_mm
C2.3.2,46,C,C2,3,2,C2.3.2,1,0.1,0,0,0,0,48,1,47,4.7,48,18,1.8,,,3930.57,89744,66.85,9.73,14.81,0,1.49,5.9,0.23,1,0,11.4
C2.3.3,47,C,C2,3,3,C2.3.3,1,0.1,0,0,0,0,15,1,14,1.4,15,7,0.7,,,3930.57,89744,66.85,9.73,14.81,0,1.49,5.9,0.23,1,0,11.4
C2.3.4,48,C,C2,3,4,C2.3.4,3,0.3,0,0,0,0,20,1,19,1.9,22,12,1.2,,,3930.57,89744,66.85,9.73,14.81,0,1.49,5.9,0.23,1,0,11.4
H1.1.1,49,H,H1,1,1,H1.1.1,14,0.7,0,0,0,0,111,1,110,22,124,58,11.6,217,43.4,1277.83,15861,28.42,6.84,34.84,1.39,19.93,1.39,6.15,0.8,0.26,44.6
H1.1.2,50,H,H1,1,2,H1.1.2,4,0.2,0,0,0,0,194,2,192,38.4,196,83,16.6,,,1277.83,15861,28.42,6.84,34.84,1.39,19.93,1.39,6.15,0.8,0.26,44.6
H1.1.3,51,H,H1,1,3,H1.1.3,4,0.2,0,0,0,0,121,1,120,24,124,66,13.2,,,1277.83,15861,28.42,6.84,34.84,1.39,19.93,1.39,6.15,0.8,0.26,44.6
H1.1.4,52,H,H1,1,4,H1.1.4,0,0,0,0,0,0,23,1,22,4.4,22,10,2,,,1277.83,15861,28.42,6.84,34.84,1.39,19.93,1.39,6.15,0.8,0.26,44.6
H1.2.1,53,H,H1,2,1,H1.2.1,0,0,0,0,0,0,82,1,81,16.2,81,25,5,91,18.2,1277.83,15861,28.42,6.84,34.84,1.39,19.93,1.39,6.15,0.8,0.26,44.6
H1.2.2,54,H,H1,2,2,H1.2.2,0,0,0,0,0,0,78,2,76,15.2,76,38,7.6,,,1277.83,15861,28.42,6.84,34.84,1.39,19.93,1.39,6.15,0.8,0.26,44.6
H1.2.3,55,H,H1,2,3,H1.2.3,0,0,0,0,0,0,36,0,36,7.2,36,21,4.2,,,1277.83,15861,28.42,6.84,34.84,1.39,19.93,1.39,6.15,0.8,0.26,44.6
H1.2.4,56,H,H1,2,4,H1.2.4,0,0,0,0,0,0,14,0,14,2.8,14,7,1.4,,,1277.83,15861,28.42,6.84,34.84,1.39,19.93,1.39,6.15,0.8,0.26,44.6
H1.3.1,57,H,H1,3,1,H1.3.1,0,0,0,0,0,0,29,1,28,5.6,28,16,3.2,68,13.6,1277.83,15861,28.42,6.84,34.84,1.39,19.93,1.39,6.15,0.8,0.26,44.6
H1.3.2,58,H,H1,3,2,H1.3.2,0,0,0,0,0,0,67,2,65,13,65,31,6.2,,,1277.83,15861,28.42,6.84,34.84,1.39,19.93,1.39,6.15,0.8,0.26,44.6
H1.3.3,59,H,H1,3,3,H1.3.3,2,0.4,0,0,0,0,28,1,27,5.4,29,12,2.4,,,1277.83,15861,28.42,6.84,34.84,1.39,19.93,1.39,6.15,0.8,0.26,44.6
H1.3.4,60,H,H1,3,4,H1.3.4,0,0,0,0,0,0,23,0,23,4.6,23,9,1.8,,,1277.83,15861,28.42,6.84,34.84,1.39,19.93,1.39,6.15,0.8,0.26,44.6
H2.1.1,61,H,H2,1,1,H2.1.1,3,0.6,0,0,0,0,72,2,70,14,73,33,6.6,74,14.8,1277.83,15861,28.42,6.84,34.84,1.39,19.93,1.39,6.15,0.8,0.26,6.8
H2.1.2,62,H,H2,1,2,H2.1.2,1,0.2,0,0,0,0,59,1,58,11.6,59,33,6.6,,,1277.83,15861,28.42,6.84,34.84,1.39,19.93,1.39,6.15,0.8,0.26,6.8
H2.1.3,63,H,H2,1,3,H2.1.3,0,0,0,0,0,0,11,1,10,2,10,5,1,,,1277.83,15861,28.42,6.84,34.84,1.39,19.93,1.39,6.15,0.8,0.26,6.8
H2.1.4,64,H,H2,1,4,H2.1.4,0,0,0,0,0,0,4,0,4,0.8,4,3,0.6,,,1277.83,15861,28.42,6.84,34.84,1.39,19.93,1.39,6.15,0.8,0.26,6.8
H2.2.1,65,H,H2,2,1,H2.2.1,1,0.2,0,0,0,0,50,1,49,9.8,50,26,5.2,90,18,1277.83,15861,28.42,6.84,34.84,1.39,19.93,1.39,6.15,0.8,0.26,6.8
H2.2.2,66,H,H2,2,2,H2.2.2,5,1,0,0,0,0,64,1,63,12.6,68,35,7,,,1277.83,15861,28.42,6.84,34.84,1.39,19.93,1.39,6.15,0.8,0.26,6.8
H2.2.3,67,H,H2,2,3,H2.2.3,1,0.2,0,0,0,0,68,2,66,13.2,67,28,5.6,,,1277.83,15861,28.42,6.84,34.84,1.39,19.93,1.39,6.15,0.8,0.26,6.8
H2.2.4,68,H,H2,2,4,H2.2.4,1,0.2,0,0,0,0,2,2,0,0,1,1,0.2,,,1277.83,15861,28.42,6.84,34.84,1.39,19.93,1.39,6.15,0.8,0.26,6.8
H2.3.1,69,H,H2,3,1,H2.3.1,6,1.2,0,0,0,0,34,1,33,6.6,39,19,3.8,64,12.8,1277.83,15861,28.42,6.84,34.84,1.39,19.93,1.39,6.15,0.8,0.26,6.8
H2.3.2,70,H,H2,3,2,H2.3.2,8,1.6,0,0,0,0,39,2,37,7.4,45,23,4.6,,,1277.83,15861,28.42,6.84,34.84,1.39,19.93,1.39,6.15,0.8,0.26,6.8
H2.3.3,71,H,H2,3,3,H2.3.3,3,0.6,0,0,0,0,31,1,30,6,33,17,3.4,,,1277.83,15861,28.42,6.84,34.84,1.39,19.93,1.39,6.15,0.8,0.26,6.8
H2.3.4,72,H,H2,3,4,H2.3.4,0,0,0,0,0,0,22,1,21,4.2,21,5,1,,,1277.83,15861,28.42,6.84,34.84,1.39,19.93,1.39,6.15,0.8,0.26,6.8
K1.1.1,73,K,K1,1,1,K1.1.1,1,0.1,0,0,0,0,53,1,52,5.2,53,28,2.8,105,10.5,24.55,379,72.72,0,13.64,0,0,0,13.64,0,0,31.8
K1.1.2,74,K,K1,1,2,K1.1.2,0,0,0,0,0,0,81,0,81,8.1,81,37,3.7,,,24.55,379,72.72,0,13.64,0,0,0,13.64,0,0,31.8
K1.1.3,75,K,K1,1,3,K1.1.3,2,0.2,0,0,0,0,44,1,43,4.3,45,14,1.4,,,24.55,379,72.72,0,13.64,0,0,0,13.64,0,0,31.8
K1.1.4,76,K,K1,1,4,K1.1.4,0,0,0,0,0,0,51,2,49,4.9,49,26,2.6,,,24.55,379,72.72,0,13.64,0,0,0,13.64,0,0,31.8
K1.2.1,77,K,K1,2,1,K1.2.1,1,0.1,0,0,0,0,54,2,52,5.2,53,30,3,113,11.3,24.55,379,72.72,0,13.64,0,0,0,13.64,0,0,31.8
K1.2.2,78,K,K1,2,2,K1.2.2,0,0,0,0,0,0,38,1,37,3.7,37,18,1.8,,,24.55,379,72.72,0,13.64,0,0,0,13.64,0,0,31.8
K1.2.3,79,K,K1,2,3,K1.2.3,2,0.2,0,0,0,0,94,0,94,9.4,96,43,4.3,,,24.55,379,72.72,0,13.64,0,0,0,13.64,0,0,31.8
