"V1","V2"
1690,0.497
1690,0.643
1700,0.4
1700,0.14
1700,-0.0428
1700,-0.144
1700,-0.0383
1700,0.133
1710,0.126
1710,0.0101
1710,0.0405
1710,0.265
1710,0.408
1710,0.349
1710,0.224
1720,0.046
1720,-0.125
1720,-0.174
1720,-0.167
1720,-0.0372
1720,0.321
1730,0.545
1730,0.313
1730,0.00421
1730,-0.0425
1730,-0.0861
1730,-0.239
1740,-0.279
1740,-0.138
1740,0.15
1740,0.457
1740,0.43
1740,0.102
1750,0.0192
1750,0.211
1750,0.175
1750,-0.0953
1750,-0.159
1750,0.00531
1760,0.095
1760,0.185
1760,0.456
1760,0.643
1760,0.549
1760,0.452
1770,0.512
1770,0.538
1770,0.429
1770,0.259
1770,0.138
1770,0.206
1770,0.349
1780,0.273
1780,0.0923
1780,0.0336
1780,0.00684
1780,-0.0254
1780,-0.000549
1790,0.1
1790,0.209
1790,0.126
1790,-0.175
1790,-0.405
1790,-0.29
1800,-0.0322
1800,0.126
1800,0.272
1800,0.365
1800,0.27
1800,0.148
1810,0.163
1810,0.175
1810,0.0434
1810,-0.119
1810,-0.104
1810,0.0711
1820,0.187
1820,0.234
1820,0.225
1820,0.069
1820,-0.0554
1820,-0.0266
1820,-0.0132
1830,0.0159
1830,0.148
1830,0.271
1830,0.473
1830,0.715
1830,0.617
1840,0.253
1840,0.109
1840,0.37
1840,0.673
1840,0.557
1840,0.319
1850,0.328
1850,0.251
1850,0.0638
1850,0.115
1850,0.26
1850,0.221
1860,0.101
1860,0.0279
1860,-0.0851
1860,-0.159
1860,-0.0923
1860,-0.0973
1860,-0.224
1870,-0.229
1870,0.0169
1870,0.366
1870,0.487
1870,0.308
1870,0.0945
1880,-0.0183
1880,0.0596
1880,0.253
1880,0.201
1880,-0.0488
1880,-0.138
1890,0.00653
1890,0.227
1890,0.247
1890,0.0529
1890,-0.0735
1890,-0.115
1890,-0.106
1900,0.021
1900,0.0392
1900,-0.127
1900,-0.102
1900,0.154
1900,0.313
1910,0.25
1910,0.0474
1910,-0.0117
1910,0.176
1910,0.295
1910,0.308
1920,0.362
1920,0.354
1920,0.239
1920,0.103
1920,0.0758
1920,0.13
1920,0.0883
1930,0.0588
1930,0.126
1930,0.0941
1930,-0.0348
1930,-0.104
1930,-0.0826
1940,-0.011
1940,0.0579
1940,0.121
1940,0.0868
1940,-0.00964
1940,0.0941
1950,0.204
1950,0.0175
1950,-0.21
1950,-0.184
1950,0.0419
1950,0.284
1950,0.391
1960,0.236
1960,-0.0433
1960,-0.0384
1960,0.164
1960,0.175
1960,0.127
1970,0.286
1970,0.526
1970,0.511
1970,0.22
1970,0.0485
1970,0.177
1980,0.316
1980,0.182
1980,-0.0191
1980,-0.0422
1980,-0.0899
1980,-0.234
1980,-0.187
1990,0.0731
1990,0.203
1990,0.0227
1990,-0.191
1990,-0.131
1990,0.0822
2000,0.225
2000,0.228
2000,0.0998
2000,-0.0724
2000,-0.213
2000,-0.242
2000,-0.114
2010,0.142
2010,0.377
2010,0.349
2010,0.146
2010,0.0957
2010,0.168
2020,0.146
2020,0.156
2020,0.31
2020,0.395
2020,0.299
2020,0.146
2020,0.181
2030,0.52
2030,0.783
2030,0.619
2030,0.273
2030,0.0369
2030,-0.0742
2040,-0.0447
2040,0.0631
2040,0.0991
2040,0.0726
2040,0.109
2040,0.251
2050,0.485
2050,0.699
2050,0.633
2050,0.3
2050,0.19
2050,0.437
2050,0.573
2060,0.473
2060,0.304
2060,0.0568
2060,-0.0215
2060,0.216
2060,0.375
2070,0.347
2070,0.351
2070,0.38
2070,0.483
2070,0.678
2070,0.688
2070,0.414
2080,0.0994
2080,-0.0493
2080,-0.0916
2080,-0.131
2080,-0.0757
2080,0.0856
2090,0.203
2090,0.29
2090,0.408
2090,0.523
2090,0.658
2090,0.648
2090,0.292
2100,-0.0601
2100,-0.128
2100,-0.133
2100,-0.128
2100,-0.114
2100,-0.143
2110,-0.0651
